Destination,Type,Budget (INR),Duration (days),Rating,Climate,Popularity,Best Season,Latitude,Longitude,Best Food to Try,Best Mode of Transportation
Darjeeling,Hill Station,19620,3,4.8,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Mysore,Cultural,12645,3,4.3,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Goa,Beach,22796,5,4.3,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Manali,Hill Station,16550,6,4.3,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,14280,5,4.1,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Ranthambore,Wildlife,20409,4,4.3,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,28029,7,4.5,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,29426,6,4.5,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Udaipur,Historical,12821,2,4.3,Hot,Medium,September-March,24.5854,73.7125,Unknown,Unknown
Rishikesh,Adventure,14714,5,4.4,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Hampi,Heritage,11254,3,4.9,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Udaipur,Historical,14952,4,4.6,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Shimla,Hill Station,17653,4,4.3,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Munnar,Hill Station,17597,3,4.3,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Ladakh,Adventure,32087,7,4.7,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,13631,3,4.8,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,31334,7,4.0,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Udaipur,Historical,13882,3,4.7,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Ooty,Hill Station,16363,3,4.8,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Hampi,Heritage,11173,3,4.1,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Andaman,Beach,24153,4,4.3,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Hampi,Heritage,15160,4,4.1,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,28247,5,4.9,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,29824,7,4.7,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Jaipur,Historical,11075,4,4.9,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Kaziranga,Wildlife,18445,4,4.2,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Shimla,Hill Station,17993,5,4.3,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Shimla,Hill Station,16682,5,4.7,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Kaziranga,Wildlife,20498,3,4.6,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Shimla,Hill Station,14181,3,4.3,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,17555,4,4.6,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Andaman,Beach,23597,6,4.3,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Darjeeling,Hill Station,18790,5,4.9,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Kaziranga,Wildlife,19201,4,4.8,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Goa,Beach,21736,5,4.6,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Manali,Hill Station,14901,6,4.7,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Andaman,Beach,27145,5,4.2,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Andaman,Beach,25977,5,4.4,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Jaipur,Historical,11562,4,4.3,Arid,Low,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ladakh,Adventure,29199,5,4.3,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Mysore,Cultural,9274,2,4.8,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Jaipur,Historical,11158,2,4.4,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Darjeeling,Hill Station,15458,3,4.4,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Ladakh,Adventure,31764,5,4.3,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Goa,Beach,19367,3,4.4,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Darjeeling,Hill Station,19128,5,4.0,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Manali,Hill Station,15044,5,4.5,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Ooty,Hill Station,12683,4,4.3,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Shimla,Hill Station,16360,5,4.8,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Andaman,Beach,23218,4,4.6,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Ladakh,Adventure,32071,6,4.0,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,27444,6,4.7,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Rishikesh,Adventure,12462,3,4.8,Moderate,Medium,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Goa,Beach,22625,5,4.7,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Shimla,Hill Station,15280,5,4.1,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Munnar,Hill Station,18336,3,4.2,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Ranthambore,Wildlife,22489,3,4.3,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Munnar,Hill Station,15935,2,4.9,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Ooty,Hill Station,16102,2,4.1,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Munnar,Hill Station,14743,2,4.9,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Kaziranga,Wildlife,20805,4,4.0,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Udaipur,Historical,13806,3,4.2,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Manali,Hill Station,13289,5,4.7,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,12412,2,4.7,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Munnar,Hill Station,17270,2,4.5,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Udaipur,Historical,13085,2,4.3,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Ooty,Hill Station,16095,2,4.1,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Darjeeling,Hill Station,17605,3,4.4,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Munnar,Hill Station,17405,2,4.7,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Ooty,Hill Station,16322,4,4.8,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Shimla,Hill Station,17469,5,4.8,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Andaman,Beach,24574,6,4.3,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Kaziranga,Wildlife,17614,3,4.8,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Ranthambore,Wildlife,18518,3,4.4,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Goa,Beach,19153,4,4.5,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Munnar,Hill Station,14335,4,4.2,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Ladakh,Adventure,30849,7,4.4,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Andaman,Beach,25813,6,4.8,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Mysore,Cultural,9209,2,4.4,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Jaipur,Historical,11263,2,4.5,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ooty,Hill Station,15378,2,4.4,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Manali,Hill Station,17311,4,4.6,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Munnar,Hill Station,17485,2,4.5,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Manali,Hill Station,13914,4,4.8,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Munnar,Hill Station,18655,3,4.1,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Mysore,Cultural,9825,3,4.6,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Shimla,Hill Station,15399,5,4.6,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Rishikesh,Adventure,13494,5,4.1,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Jaipur,Historical,13596,2,4.7,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Rishikesh,Adventure,11702,3,4.1,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Jaipur,Historical,10560,4,4.1,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Goa,Beach,19377,5,4.6,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Mysore,Cultural,12988,2,4.7,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Manali,Hill Station,17285,4,4.9,Cold,High,March-June,32.2396,77.1887,Unknown,Unknown
Rishikesh,Adventure,13833,5,4.1,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Andaman,Beach,25267,6,4.9,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Kaziranga,Wildlife,19796,4,4.0,Humid,High,November-April,26.5775,93.1711,Unknown,Unknown
Ooty,Hill Station,15785,2,4.5,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Kaziranga,Wildlife,19057,3,4.3,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Shimla,Hill Station,16446,4,4.3,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Goa,Beach,22894,3,4.5,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Ladakh,Adventure,32206,7,4.4,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Mysore,Cultural,11867,2,4.2,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Ladakh,Adventure,31605,7,4.3,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Hampi,Heritage,11334,4,4.3,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Shimla,Hill Station,16266,5,4.9,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Andaman,Beach,24529,6,4.7,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Udaipur,Historical,15975,4,4.8,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Ladakh,Adventure,31854,5,4.3,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ladakh,Adventure,28999,7,4.1,Cold,Medium,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Munnar,Hill Station,14098,3,4.7,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Manali,Hill Station,15122,6,4.2,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Ranthambore,Wildlife,20278,4,4.6,Hot,Low,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Rishikesh,Adventure,14792,3,4.5,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Rishikesh,Adventure,11823,4,4.3,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,15537,3,4.2,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Andaman,Beach,24801,5,4.8,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Rishikesh,Adventure,13447,3,4.3,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Munnar,Hill Station,15388,3,4.5,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Mysore,Cultural,8147,3,4.6,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Mysore,Cultural,8093,3,4.1,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Andaman,Beach,24100,5,4.8,Tropical,Medium,November-May,11.7401,92.6586,Unknown,Unknown
Hampi,Heritage,15332,2,4.7,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Goa,Beach,22618,5,4.4,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Goa,Beach,19633,5,4.7,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Rishikesh,Adventure,11743,5,4.5,Moderate,Low,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Hampi,Heritage,15015,4,4.7,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Ladakh,Adventure,31712,6,4.1,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Goa,Beach,20112,4,4.6,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Hampi,Heritage,14726,4,4.7,Hot & Dry,Medium,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Mysore,Cultural,9021,2,4.6,Moderate,Low,October-February,12.2958,76.6394,Unknown,Unknown
Jaipur,Historical,12650,2,4.0,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Udaipur,Historical,14268,4,4.1,Hot,High,September-March,24.5854,73.7125,Unknown,Unknown
Jaipur,Historical,12952,3,4.5,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Munnar,Hill Station,14985,3,4.5,Cool,Low,October-May,10.0889,77.0595,Unknown,Unknown
Ladakh,Adventure,31702,6,4.8,Cold,High,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Jaipur,Historical,11023,3,4.3,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Munnar,Hill Station,17841,3,4.2,Cool,High,October-May,10.0889,77.0595,Unknown,Unknown
Shimla,Hill Station,15960,5,4.3,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Kaziranga,Wildlife,19299,3,4.9,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Kaziranga,Wildlife,16414,3,4.7,Humid,Medium,November-April,26.5775,93.1711,Unknown,Unknown
Manali,Hill Station,15682,6,4.5,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Jaipur,Historical,13926,3,4.7,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Jaipur,Historical,14848,3,4.1,Arid,High,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Mysore,Cultural,11851,2,4.7,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Darjeeling,Hill Station,16712,3,4.8,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Ooty,Hill Station,16072,2,4.1,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Manali,Hill Station,16323,4,4.0,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Shimla,Hill Station,17471,4,4.9,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Ladakh,Adventure,29568,5,4.6,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Ranthambore,Wildlife,18969,3,4.9,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Shimla,Hill Station,16406,3,4.3,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Ooty,Hill Station,14493,4,4.3,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Jaipur,Historical,13270,4,4.7,Arid,Medium,October-March,26.9124,75.7873,Dal Baati Churma,"Train, Flight, Bus"
Ranthambore,Wildlife,19198,3,4.4,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Hampi,Heritage,14993,2,4.7,Hot & Dry,Low,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Kaziranga,Wildlife,17207,5,4.1,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Munnar,Hill Station,18205,2,4.2,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Andaman,Beach,24570,6,4.3,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Mysore,Cultural,10309,3,4.8,Moderate,Medium,October-February,12.2958,76.6394,Unknown,Unknown
Kaziranga,Wildlife,18672,5,4.7,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Darjeeling,Hill Station,16535,3,4.7,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Andaman,Beach,25485,4,4.3,Tropical,Low,November-May,11.7401,92.6586,Unknown,Unknown
Ranthambore,Wildlife,21998,3,4.8,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ooty,Hill Station,12836,4,4.0,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Goa,Beach,22288,5,4.2,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Hampi,Heritage,11179,4,4.1,Hot & Dry,High,October-February,15.335,76.462,"Kharabath, Dosa","Train, Bus, Car"
Rishikesh,Adventure,14612,3,4.5,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Darjeeling,Hill Station,19647,3,4.9,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Munnar,Hill Station,16155,4,4.7,Cool,Medium,October-May,10.0889,77.0595,Unknown,Unknown
Ooty,Hill Station,12862,3,4.3,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Udaipur,Historical,14301,4,4.6,Hot,Low,September-March,24.5854,73.7125,Unknown,Unknown
Darjeeling,Hill Station,16134,5,4.5,Cool,Low,March-May,27.036,88.2627,Unknown,Unknown
Goa,Beach,18594,4,4.8,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
Shimla,Hill Station,16244,3,4.7,Cold,Medium,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,18683,4,4.7,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Ranthambore,Wildlife,19654,3,4.2,Hot,Medium,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Ladakh,Adventure,29715,5,4.9,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Rishikesh,Adventure,11950,4,4.0,Moderate,High,October-March,30.0869,78.2676,"Aloo Puri, Chaat","Train, Bus, Car"
Shimla,Hill Station,15098,5,4.3,Cold,Low,March-June,31.1048,77.1734,Unknown,Unknown
Darjeeling,Hill Station,15505,3,4.2,Cool,High,March-May,27.036,88.2627,Unknown,Unknown
Andaman,Beach,25598,6,4.5,Tropical,High,November-May,11.7401,92.6586,Unknown,Unknown
Ooty,Hill Station,14472,4,4.6,Cool,High,October-June,11.4064,76.6932,Unknown,Unknown
Kaziranga,Wildlife,17316,4,4.1,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Manali,Hill Station,16742,5,4.0,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Ooty,Hill Station,14140,4,4.8,Cool,Low,October-June,11.4064,76.6932,Unknown,Unknown
Manali,Hill Station,14839,4,4.4,Cold,Medium,March-June,32.2396,77.1887,Unknown,Unknown
Ladakh,Adventure,32620,7,4.4,Cold,Low,May-September,34.1526,77.577,"Thukpa, Momos","Flight, Bike, Car"
Shimla,Hill Station,14464,3,4.4,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Goa,Beach,21901,3,4.2,Tropical,High,November-February,15.2993,74.124,Unknown,Unknown
Manali,Hill Station,13266,6,4.4,Cold,Low,March-June,32.2396,77.1887,Unknown,Unknown
Mysore,Cultural,10176,2,4.1,Moderate,High,October-February,12.2958,76.6394,Unknown,Unknown
Ooty,Hill Station,13682,3,4.1,Cool,Medium,October-June,11.4064,76.6932,Unknown,Unknown
Ranthambore,Wildlife,18601,3,4.4,Hot,High,October-April,26.0173,76.5026,Laal Maas,"Train, Car"
Kaziranga,Wildlife,16415,3,4.0,Humid,Low,November-April,26.5775,93.1711,Unknown,Unknown
Goa,Beach,19347,5,4.8,Tropical,Low,November-February,15.2993,74.124,Unknown,Unknown
Darjeeling,Hill Station,17759,4,4.6,Cool,Medium,March-May,27.036,88.2627,Unknown,Unknown
Shimla,Hill Station,15677,3,4.8,Cold,High,March-June,31.1048,77.1734,Unknown,Unknown
Goa,Beach,19618,3,4.7,Tropical,Medium,November-February,15.2993,74.124,Unknown,Unknown
